name,Binance,,
tradefee,0.001,,
withdrawfees,
,BNB,0.001,
,BCHSV,0.0001,
,BTC,0.0005,
,FTM,7.2,
,NEO,0,
,ETH,0.01,
,LTC,0.001,
,QTUM,0.01,
,EOS,0.1,
,SNT,66,
,BNT,2.5,
,GAS,0,
,BTM,5,
,USDT,1.8,
,HCC,0.0005,
,OAX,10.7,
,DNT,114,
,MCO,0.3,
,ICN,3.4,
,ZRX,6,
,OMG,0.75,
,WTC,0.8,
,LRC,32.2,
,LLT,67.8,
,YOYO,1,
,TRX,1,
,STRAT,0.1,
,SNGLS,130,
,BQX,14.8,
,KNC,7.3,
,SNM,84,
,FUN,456,
,LINK,0.5,
,XVG,0.1,
,CTR,35,
,SALT,5.2,
,MDA,2.1,
,IOTA,0.5,
,SUB,40,
,ETC,0.01,
,MTL,3,
,MTH,65,
,ENG,3,
,AST,29.6,
,DASH,0.002,
,BTG,0.001,
,EVX,2.7,
,REQ,88.7,
,VIB,39,
,POWR,16.5,
,ARK,0.2,
,XRP,0.25,
,MOD,5,
,ENJ,15,
,STORJ,6.5,
,KMD,0.002,
,RCN,66,
,NULS,0.01,
,RDN,6,
,XMR,0.0001,
,DLT,19.3,
,AMB,45.8,
,BAT,6,
,ZEC,0.005,
,BCPT,0.7,
,ARN,0.1,
,GVT,0.6,
,CDT,66,
,GXS,0.3,
,POE,342,
,QSP,88,
,BTS,1,
,XZC,0.02,
,LSK,0.1,
,TNT,28,
,FUEL,247,
,MANA,32,
,BCD,0.01,
,DGD,0.08,
,ADX,12.5,
,ADA,1,
,PPT,2.82,
,CMT,1,
,XLM,0.01,
,CND,125,
,LEND,220,
,WABI,8.9,
,SBTC,0.0005,
,BCX,0.5,
,WAVES,0.002,
,TNB,312,
,GTO,1.4,
,ICX,0.02,
,OST,85,
,ELF,8,
,AION,0.1,
,CVC,24.9,
,REP,0.2,
,GNT,18.9,
,DATA,86.4,
,ETF,1,
,BRD,5,
,NEBL,0.01,
,VIBE,43.4,
,LUN,0.91,
,CHAT,90.5,
,RLC,5,
,INS,5.1,
,IOST,1,
,STEEM,0.01,
,NANO,0.01,
,AE,0.1,
,VIA,0.01,
,BLZ,32.2,
,SYS,1,
,NCASH,617.3,
,POA,0.01,
,ONT,1,
,ZIL,0.01,
,STORM,611,
,XEM,4,
,WAN,0.1,
,WPR,158.7,
,QLC,1,
,GRS,0.2,
,CLOAK,0.02,
,LOOM,27.8,
,TUSD,1.73,
,ZEN,0.002,
,SKY,0.02,
,THETA,0.1,
,IOTX,206.4,
,QKC,92.43,
,AGI,52.08,
,NXS,0.02,
,SC,0.1,
,EON,10,
,NPXS,2151,
,KEY,551,
,NAS,0.1,
,ADD,100,
,MEETONE,300,
,ATD,100,
,MFT,678,
,EOP,5,
,DENT,1256,
,IQ,50,
,ARDR,2,
,HOT,1039,
,VET,100,
,DOCK,140,
,POLY,22,
,VTHO,21,
,ONG,0.1,
,HC,0.005,
,GO,0.01,
,PAX,1.8,
,RVN,1,
,DCR,0.01,
,USDC,1.73,
,MITH,4.96,
,BCHABC,0.001,
,CBM,200,
,REN,16.97,
,BTT,100,
,USDS,0.64,
,FET,5,
,TFUEL,1,
,CELR,100,
,MATIC,100,
,ATOM,0.005,
,PHB,2.8,
,BOLT,10,
,ONE,20,
,CAN,5,
,UND,5,
,HNST,10,
,ENTRP,10,
,VRAB,100,
,BTCB,0.000003,
,USDSB,0.033,
,CHZ,50,
,LBA,10,
,COS,50,
,ALGO,0.01,
,ERD,50,
,DOGE,50,
,EDO,2,
,WINGS,17.4,
,NAV,0.2,
,TRIG,50,
,APPC,22.9,
,PIVX,0.2